,Listing,Price,Date posted,Distance from zip
99,Great Deal! Household Items - Over 200 Plus Items in Lot ,65,Apr 16,18.2
100,Whicker Sun Room Furnature ,299,Apr 14,18.2
101,wicker wall shelf ,15,Apr 13,18.2
102,white wicker bathroom wall rack ,45,Apr 13,18.2
103,Dresser with mirror and nightstands ,200,Apr 10,18.2
104,Italian Provincial Queen bedroom 5 pc set ,650,Apr 12,18.3
105,Queen Bed Frame ,175,Apr 11,18.4
106,Queen Bed Frame ,175,Apr 11,18.4
107,Hanging coffee/spice rack ,80,Apr 18,18.5
108,Hanging Barnwood entryway organizer ,85,Apr 18,18.5
109,Rustic reclaimed pallet table ,195,Apr 18,18.5
110,Oak dinette set ,100,Apr 19,19.1
111,"Bedroom Set , Living Room Set , Dining Table China Closet, Ent Cntr ",100,Apr 18,19.1
112,Dining Table China Closet Entertainment Center ,100,Apr 18,19.1
113,Queen Bedroom Set Sleigh Bed Dresser Night Table ,250,Apr 18,19.1
114,"Sofa , End Table , Coffee Table , Lamp ",300,Apr 18,19.1
115,Farmhouse country couch ,300,Apr 17,19.1
116,Wood table and chairs ,300,Apr 14,19.1
117,Little Tikes Sports Car Twin Bed ,0,Apr 13,19.1
118,Lazy boy reclining chair ,85,Apr 12,19.1
119,Bedroom furniture set ,275,Apr 10,19.2
